title,salary,department_id,department
Human Resource Personnel,12000,1,Administration
Administrative Assistant,10000,1,Administration
Customer Service Representative,8000,1,Administration
Lead Engineer,15000,2,Engineering
Software Engineer,12000,2,Engineering
Chief Technology Officer,12000,2,Engineering
Accountant,12500,3,Finance
Audit Manager,25000,3,Finance
Chief Financial Officer,80000,3,Finance
Legal Team Lead,25000,4,Legal
Lawyer,19000,4,Legal
Trade Finance Officer,50000,4,Legal
Marketing Specialist,22000,5,Marketing
Marketing Consultant ,10000,5,Marketing
Chief Marketing Officer,55000,5,Marketing
Sales Lead,100000,6,Sales
Salesperson,80000,6,Sales
VP Sales,12000,6,Sales
